Suburb,Address,Rooms,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Propertycount,Price_Bin,Landsize_Bin,Distance_Bin,Type,Regionname,Cluster
Abbotsford,55a Park St,6.5,7540532.8273393195,VB,Nelson,4/06/2016,5.606878679117077,3067.0,3.0,0.0,7.965126888295677,100429.2777450493,142.0,2014.0,Yarra City Council,-37.804302949796096,144.9783512014672,4019.0,Mahal,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,98 Charles St,2.833333333333333,7627976.085447026,S,Nelson,8/10/2016,5.606878679117077,3067.0,2.0,0.0,7.965126888295677,175213.633684401,107.0,1890.0,Yarra City Council,-37.802116087136824,144.98083117932035,4019.0,Mahal,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,10 Valiant St,2.833333333333333,6057282.689998742,S,Biggin,8/10/2016,5.606878679117077,3067.0,3.0,0.0,7.965126888295677,160231.32008652843,75.0,1900.0,Yarra City Council,-37.79300415938991,144.9875080427711,4019.0,Sedang,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,40 Nicholson St,4.666666666666667,6872842.139308587,VB,Nelson,12/11/2016,5.606878679117077,3067.0,3.0,3.9825634441478384,7.965126888295677,157498.7374674118,190.0,2005.0,Yarra City Council,-37.806672051010295,144.98273885459201,4019.0,Mahal,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,16 William St,2.833333333333333,6754639.966186605,S,Jellis,15/10/2016,5.606878679117077,3067.0,2.0,0.0,7.965126888295677,168004.83804513645,97.0,1890.0,Yarra City Council,-37.80758324378499,144.985028064918,4019.0,Mahal,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,42 Henry St,4.666666666666667,6409963.541820264,S,Jellis,16/07/2016,5.606878679117077,3067.0,3.0,3.9825634441478384,0.0,94513.11929536561,110.0,1880.0,Yarra City Council,-37.80138713291707,144.9762527586684,4019.0,Sedang,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,78 Yarra St,4.666666666666667,6332238.935979966,S,LITTLE,16/07/2016,5.606878679117077,3067.0,2.0,0.0,0.0,114197.42710561269,105.0,1890.0,Yarra City Council,-37.795008783494225,144.98292962211917,4019.0,Sedang,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,42 Valiant St,2.833333333333333,5235484.300813633,S,Biggin,17/09/2016,5.606878679117077,3067.0,2.0,0.0,0.0,122418.19579416123,73.0,1985.0,Yarra City Council,-37.793186397944844,144.99036955567863,4019.0,Sedang,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,3/72 Charles St,6.5,6814185.438234568,PI,Kay,18/03/2017,5.606878679117077,3067.0,4.0,3.9825634441478384,7.965126888295677,285560.55707878113,135.0,1900.0,Yarra City Council,-37.80448518835102,144.98044964426606,4019.0,Mahal,Besar,Dekat,t,Northern Metropolitan,0
Abbotsford,52a William St,2.833333333333333,6068015.310333808,PI,Biggin,18/06/2016,5.606878679117077,3067.0,2.0,3.9825634441478384,0.0,103658.10110339685,135.0,2013.0,Yarra City Council,-37.80557861968066,144.98521883244518,4019.0,Sedang,Sedang,Dekat,t,Northern Metropolitan,0
